Sintoma_predicho;Variable;Coeficiente;Error_estandar;p_valor;IC_Inferior;IC_Superior;R2_ajustado;RMSE
Tos;C(Localidad)[T.KENNEDY];-0,09694340834276859;0,2055051524737681;0,6382470456794025;-0,5051541483319761;0,31126733164643894;0,21953175396870483;0,14442049264092077
Tos;C(Localidad)[T.PUENTE ARANDA];-0,017742293555835557;0,10653526401820765;0,8681021520202907;-0,22936150814155898;0,19387692102988785;0,21953175396870483;0,14442049264092077
Tos;C(Localidad)[T.SANTA FE];0,27734798330263066;0,1773560322162256;0,12133744874721332;-0,07494798729001212;0,6296439538952734;0,21953175396870483;0,14442049264092077
Tos;C(Localidad)[T.SUBA];-0,08824239969395382;0,1046359914168958;0,4012566570715348;-0,29608894257441815;0,11960414318651051;0,21953175396870483;0,14442049264092077
Tos;C(Localidad)[T.USAQUEN];0,060638485539007636;0,0900532926250172;0,502423482654483;-0,11824131761150108;0,23951828868951636;0,21953175396870483;0,14442049264092077
Tos;C(Localidad)[T.USME];-0,36855676156766803;0,20934631359009484;0,08168074600648882;-0,7843974962447882;0,04728397310945204;0,21953175396870483;0,14442049264092077
Tos;CO;-0,11846074855343322;0,06165683732925423;0,057824921028425284;-0,24093448163796882;0,004012984531102368;0,21953175396870483;0,14442049264092077
Tos;NO2;-0,05144619691296355;0,05331666701711916;0,337143312588429;-0,15735320622551366;0,054460812399586556;0,21953175396870483;0,14442049264092077
Tos;O3;-0,039643481636510644;0,036129037469017924;0,2754163676529665;-0,11140937627610208;0,03212241300308079;0,21953175396870483;0,14442049264092077
Tos;SO2;0,13999804608439173;0,05378767101251749;0,010795820679290908;0,0331554451957425;0,24684064697304098;0,21953175396870483;0,14442049264092077
Tos;PM25;0,04525300381550949;0,0554015671417581;0,4161656397816137;-0,06479540347386792;0,1553014111048869;0,21953175396870483;0,14442049264092077
Tos;PM10;0,016482041387723474;0,09280492732149759;0,8594328146142943;-0,1678635460611795;0,20082762883662644;0,21953175396870483;0,14442049264092077
Congestión_nasal;Intercept;0,2743331919658197;0,10481374101974937;0,010377619397350171;0,06613357133504003;0,4825328125965993;0,2732143503749388;0,15541185005051325
Congestión_nasal;C(Estrato)[T.2];-0,06621113426430059;0,05044171380057415;0,1926097212530622;-0,16640740218748334;0,033985133658882186;0,2732143503749388;0,15541185005051325
Congestión_nasal;C(Estrato)[T.3];-0,04235283281573318;0,05216951549908301;0,41900709948213477;-0,14598116656019966;0,06127550092873328;0,2732143503749388;0,15541185005051325
Congestión_nasal;C(Estrato)[T.4];0,008785732803742369;0,0628610660552331;0,8891550962574071;-0,11608005271077229;0,13365151831825703;0,2732143503749388;0,15541185005051325
Congestión_nasal;C(Estrato)[T.5];0,21318480259017136;0,09404981380930695;0,025776400330271926;0,02636640106203944;0,40000320411830326;0,2732143503749388;0,15541185005051325
Congestión_nasal;C(Estrato)[T.6];0,5757115776352972;0,11202243369371781;1,5661005060139746e-06;0,3531927745637218;0,7982303807068727;0,2732143503749388;0,15541185005051325
Congestión_nasal;C(Localidad)[T.BOSA];-0,3345543576384006;0,23151752974808107;0,15187871022007662;-0,7944354895774215;0,12532677430062028;0,2732143503749388;0,15541185005051325
Congestión_nasal;C(Localidad)[T.CIUDAD BOLIVAR];-0,2660487872002444;0,19982232470748587;0,18637436914314626;-0,6629712879420131;0,13087371354152438;0,2732143503749388;0,15541185005051325
Congestión_nasal;C(Localidad)[T.ENGATIVA];0,02773540655796712;0,09932110715918377;0,7806867496167096;-0,1695537716545989;0,2250245847705331;0,2732143503749388;0,15541185005051325
Congestión_nasal;C(Localidad)[T.FONTIBON];-0,041043300443242864;0,2501502085893159;0,8700362784190621;-0,5379359599581117;0,45584935907162605;0,2732143503749388;0,15541185005051325
Congestión_nasal;C(Localidad)[T.KENNEDY];-0,05036434879194293;0,22114545766209132;0,8203568966205942;-0,48964263369537064;0,38891393611148484;0,2732143503749388;0,15541185005051325
Congestión_nasal;C(Localidad)[T.PUENTE ARANDA];0,018965769759342166;0,11464330424253265;0,8689702580588482;-0,20875907069508762;0,24669061021377195;0,2732143503749388;0,15541185005051325
Congestión_nasal;C(Localidad)[T.SANTA FE];0,15269635065623077;0,19085400264402752;0,42575456488331975;-0,2264116800252159;0,5318043813376774;0,2732143503749388;0,15541185005051325
Congestión_nasal;C(Localidad)[T.SUBA];-0,10650636871137797;0,11259948439866867;0,34671118643979093;-0,33017141212020895;0,11715867469745297;0,2732143503749388;0,15541185005051325
Congestión_nasal;C(Localidad)[T.USAQUEN];0,11265918437677234;0,09690694550385891;0,24805180732413287;-0,07983455827658294;0,30515292703012764;0,2732143503749388;0,15541185005051325
