variable;localidad;year_start;year_end;mean;std;n;confidence_level;ci_lower;ci_upper
CO;BARRIOS UNIDOS;2020;2022;666.7299543513525;492.5976549080579;50134;90%;663.1111804989833;670.3487282037216
CO;BARRIOS UNIDOS;2020;2022;666.7299543513525;492.5976549080579;50134;99%;661.0628687008922;672.3970400018128
CO;BARRIOS UNIDOS;2020;2023;653.836632117254;485.95943850678714;58726;95%;649.9061859406892;657.7670782938188
CO;BARRIOS UNIDOS;2020;2023;653.836632117254;485.95943850678714;58726;90%;650.5381136564473;657.1351505780607
CO;BARRIOS UNIDOS;2020;2023;653.836632117254;485.95943850678714;58726;99%;648.6710888125659;659.0021754219421
CO;BARRIOS UNIDOS;2021;2021;596.1690470214719;436.46255399162186;11105;95%;588.0504096991904;604.2876843437534
CO;BARRIOS UNIDOS;2021;2021;596.1690470214719;436.46255399162186;11105;90%;589.3558460621974;602.9822479807464
CO;BARRIOS UNIDOS;2021;2021;596.1690470214719;436.46255399162186;11105;99%;585.498677819345;606.8394162235988
CO;BARRIOS UNIDOS;2021;2022;624.3304727843071;453.44976630863664;19621;95%;617.9852993522558;630.6756462163584
CO;BARRIOS UNIDOS;2021;2022;624.3304727843071;453.44976630863664;19621;90%;619.0055124551976;629.6554331134165
CO;BARRIOS UNIDOS;2021;2022;624.3304727843071;453.44976630863664;19621;99%;615.9912045143207;632.6697410542935
CO;BARRIOS UNIDOS;2021;2023;610.4050874691824;449.2194783118262;28213;95%;605.1630433908546;615.6471315475102
CO;BARRIOS UNIDOS;2021;2023;610.4050874691824;449.2194783118262;28213;90%;606.0058696833976;614.8043052549672
