variable,localidad,year_start,year_end,mean,std,n
NO2,PUENTE ARANDA,2020,2020,33.004925156115725,18.513186094766017,10953
NO2,PUENTE ARANDA,2020,2021,33.31752826958645,17.94327058955375,28316
NO2,PUENTE ARANDA,2020,2022,34.96998183126528,18.030573731369767,45568
NO2,PUENTE ARANDA,2020,2023,35.325125053874736,18.22343003921151,62937
NO2,PUENTE ARANDA,2021,2021,33.51521514884367,17.571020526605288,17363
NO2,PUENTE ARANDA,2021,2022,35.59580024570474,17.829010808435168,34615
NO2,PUENTE ARANDA,2021,2023,35.82655826743706,18.121397659267274,51984
NO2,PUENTE ARANDA,2022,2022,37.7065923180593,17.84126958340816,17252
NO2,PUENTE ARANDA,2022,2023,37.02653799680241,18.286063753745083,34621
NO2,PUENTE ARANDA,2023,2023,36.313779939646864,18.71498972043658,17369
NO2,SAN CRISTOBAL,2020,2020,28.918457124668436,17.139627205219195,8713
NO2,SAN CRISTOBAL,2020,2021,25.21829575,16.35550965826231,17319
NO2,SAN CRISTOBAL,2020,2022,25.080178482339377,16.35081060184031,26058
NO2,SAN CRISTOBAL,2020,2023,23.744907119893078,16.24695263468412,34793
NO2,SAN CRISTOBAL,2021,2021,24.39917605637111,16.063002671556713,8606
NO2,SAN CRISTOBAL,2021,2022,24.659456540094205,16.207351729320077,17345
NO2,SAN CRISTOBAL,2021,2023,23.366887825412824,16.11516148794013,26080
NO2,SAN CRISTOBAL,2022,2022,24.914730476848653,16.344585339253587,8739
NO2,SAN CRISTOBAL,2022,2023,22.858299369322456,16.1169660008521,17474
NO2,SAN CRISTOBAL,2023,2023,20.78250180211603,15.612484105505985,8735
NO2,SANTA FE,2020,2020,,,8754
NO2,SANTA FE,2020,2021,26.613886398258977,20.19005745817961,17477
NO2,SANTA FE,2020,2022,27.553618445322794,19.98709966993806,26221
NO2,SANTA FE,2020,2023,28.212007522167006,20.25369254630454,34958
NO2,SANTA FE,2021,2021,26.613886398258977,20.19005745817961,8723
NO2,SANTA FE,2021,2022,27.553618445322794,19.98709966993806,17467
NO2,SANTA FE,2021,2023,28.212007522167013,20.25369254630454,26204
NO2,SANTA FE,2022,2022,27.961560699102503,19.88572941435212,8744
NO2,SANTA FE,2022,2023,28.56065400593472,20.25139454476131,17481
NO2,SANTA FE,2023,2023,29.16589405869721,20.59772479834566,8737
NO2,SUBA,2020,2020,20.111117998169426,12.128188759106651,17328
NO2,SUBA,2020,2021,22.678642092382418,14.808581287433,51185
NO2,SUBA,2020,2022,23.69041024440823,14.777751762929928,76955
NO2,SUBA,2020,2023,24.639930732305906,14.868537031046891,102886
NO2,SUBA,2021,2021,23.505825488024637,15.483948935688995,33857
NO2,SUBA,2021,2022,24.335105083528727,15.116284966142038,59627
NO2,SUBA,2021,2023,25.19905254149612,15.078596741675197,85558
NO2,SUBA,2022,2022,25.386596194591,14.569435768302398,25770
NO2,SUBA,2022,2023,26.251042015267174,14.723581876506456,51701
NO2,SUBA,2023,2023,27.081571086453263,14.823055310171773,25931
NO2,TUNJELITO,2020,2020,27.892269645353352,17.347605237641115,8748
NO2,TUNJELITO,2020,2021,30.20336893276681,22.648884294300608,17475
NO2,TUNJELITO,2020,2022,29.02771614246855,21.311195608563338,26129
NO2,TUNJELITO,2020,2023,27.819625212562354,20.420107141633526,34865
NO2,TUNJELITO,2021,2021,32.36035770959169,26.481825476482513,8727
NO2,TUNJELITO,2021,2022,29.58286483483103,22.98193100069828,17381
NO2,TUNJELITO,2021,2023,27.79638212283099,21.3101099906923,26117
NO2,TUNJELITO,2022,2022,26.527032030834665,17.886936053204632,8654
NO2,TUNJELITO,2022,2023,25.415602621463233,17.569535647116986,17390
NO2,TUNJELITO,2023,2023,24.413518154583585,17.218037724439952,8736
NO2,USAQUEN,2020,2020,24.992839197465678,17.41297318824341,8754
NO2,USAQUEN,2020,2021,20.226737695154775,16.306915684300275,18977
NO2,USAQUEN,2020,2022,20.771918755235223,16.54590897063486,27718
NO2,USAQUEN,2020,2023,20.06349307181403,16.427830832303627,36456
NO2,USAQUEN,2021,2021,19.323496125675405,15.929711434930507,10223
NO2,USAQUEN,2021,2022,20.343033384120172,16.395030577273694,18964
NO2,USAQUEN,2021,2023,19.71788777226623,16.301050815323343,27702
NO2,USAQUEN,2022,2022,21.521526948878094,16.841144385024712,8741
NO2,USAQUEN,2022,2023,19.949471210340775,16.51128216820773,17479
NO2,USAQUEN,2023,2023,18.326352758538334,16.00341004748581,8738
NO2,USME,2020,2020,42.42827462382757,16.350827582042324,20070
NO2,USME,2020,2021,37.8533369879097,17.529444078382674,28697
NO2,USME,2020,2022,36.037530103327015,17.488552366212847,37142
NO2,USME,2020,2023,34.01194316049056,17.450207421742736,45738
NO2,USME,2021,2021,27.15820636342431,15.405854310590703,8627
NO2,USME,2021,2022,28.469523299066523,15.678453213047614,17072
NO2,USME,2021,2023,27.36326354628936,15.287596658790648,25668
NO2,USME,2022,2022,29.815695641762453,15.841851828504243,8445
NO2,USME,2022,2023,27.467922173938927,15.226281304366022,17041
NO2,USME,2023,2023,25.146553166804782,14.216803138945355,8596
O3,ALL,2020,2020,25.70546743379381,22.378065225079645,154198
O3,ALL,2020,2021,24.224898647565723,21.058522159472446,333080
O3,ALL,2020,2022,23.412388329013556,20.94224583153646,497638
O3,ALL,2020,2023,23.461905033370037,21.023401727089187,663781
O3,ALL,2021,2021,22.92157434069472,19.7327424803471,178882
O3,ALL,2021,2022,22.31353062972238,20.12573972822111,343440
O3,ALL,2021,2023,22.71198311434628,20.496034543164722,509583
O3,ALL,2022,2022,21.58704642715521,20.561970331741964,164558
O3,ALL,2022,2023,22.583681091426246,20.94857307280632,330701
O3,ALL,2023,2023,23.630807704357967,21.2971220587062,166143
O3,BARRIOS UNIDOS,2020,2020,25.59870974806137,25.064531943300043,30580
O3,BARRIOS UNIDOS,2020,2021,25.214723330730184,24.38908149876166,41762
O3,BARRIOS UNIDOS,2020,2022,24.445716260060365,24.254821131341007,50508
O3,BARRIOS UNIDOS,2020,2023,24.562370907278524,24.350558107861044,59228
O3,BARRIOS UNIDOS,2021,2021,24.159032976484585,22.394654423384978,11182
O3,BARRIOS UNIDOS,2021,2022,22.48455037645061,22.678062876568514,19928
O3,BARRIOS UNIDOS,2021,2023,23.37077159804072,23.446758733550453,28648
O3,BARRIOS UNIDOS,2022,2022,19.767742131828978,22.872811485558785,8746
O3,BARRIOS UNIDOS,2022,2023,22.804113135565352,24.159657767286443,17466
O3,BARRIOS UNIDOS,2023,2023,25.219726113145153,24.8743881014855,8720
O3,BOSA,2020,2020,26.151430344827588,21.829315624439445,1784
O3,BOSA,2020,2021,21.759580576496674,19.492792219763118,6837
O3,BOSA,2020,2022,21.759580576496674,19.492792219763118,6837
O3,BOSA,2020,2023,21.759580576496674,19.492792219763118,6837
O3,BOSA,2021,2021,20.238820656716417,18.3747497722239,5053
O3,BOSA,2021,2022,20.238820656716417,18.3747497722239,5053
O3,BOSA,2021,2023,20.238820656716417,18.3747497722239,5053
O3,BOSA,2022,2022,,,0
O3,BOSA,2022,2023,,,0
O3,BOSA,2023,2023,,,0
O3,CHAPINERO,2020,2020,,,8701
O3,CHAPINERO,2020,2021,,,18273
O3,CHAPINERO,2020,2022,,,23955
O3,CHAPINERO,2020,2023,,,27702
O3,CHAPINERO,2021,2021,,,9572
O3,CHAPINERO,2021,2022,,,15254
O3,CHAPINERO,2021,2023,,,19001
O3,CHAPINERO,2022,2022,,,5682
O3,CHAPINERO,2022,2023,,,9429
O3,CHAPINERO,2023,2023,,,3747
O3,CIUDAD BOLIVAR,2020,2020,27.03750291262136,19.58098391772274,1827
O3,CIUDAD BOLIVAR,2020,2021,21.583679969727548,17.181364602200997,10462
O3,CIUDAD BOLIVAR,2020,2022,25.15430421917808,20.340300105216976,19108
O3,CIUDAD BOLIVAR,2020,2023,26.032240744051414,20.786655095561276,31389
O3,CIUDAD BOLIVAR,2021,2021,21.03807065353129,16.827127978205205,8635
O3,CIUDAD BOLIVAR,2021,2022,25.067843046357616,20.370903872498772,17281
O3,CIUDAD BOLIVAR,2021,2023,26.000412445108026,20.82330192100669,29562
O3,CIUDAD BOLIVAR,2022,2022,28.485822290220074,22.39128248733098,8646
O3,CIUDAD BOLIVAR,2022,2023,28.298105814327016,22.059373970692,20927
O3,CIUDAD BOLIVAR,2023,2023,28.0724370401811,21.653053059019328,12281
O3,ENGATIVÁ,2020,2020,25.10543548199091,19.17274127152007,10461
O3,ENGATIVÁ,2020,2021,22.046969237535485,19.228015282189652,32149
O3,ENGATIVÁ,2020,2022,20.293520401663056,19.43679690850853,49350
O3,ENGATIVÁ,2020,2023,20.55248615968503,19.595332039880645,65197
O3,ENGATIVÁ,2021,2021,20.450171409444987,19.06339987274698,21688
O3,ENGATIVÁ,2021,2022,19.02527402764977,19.30741102288636,38889
O3,ENGATIVÁ,2021,2023,19.735456180057312,19.558558459016293,54736
O3,ENGATIVÁ,2022,2022,17.572617756545476,19.446444736471154,17201
O3,ENGATIVÁ,2022,2023,19.361139027888445,19.80296056161378,33048
O3,ENGATIVÁ,2023,2023,21.250592121649078,20.000397318793308,15847
O3,FONTIBÓN,2020,2020,,,0
O3,FONTIBÓN,2020,2021,16.469332776280325,16.302805504309987,5807
O3,FONTIBÓN,2020,2022,18.95533761646996,19.520399132203405,31954
O3,FONTIBÓN,2020,2023,22.888757387347482,24.291301713166053,58479
O3,FONTIBÓN,2021,2021,16.469332776280325,16.302805504309987,5807
O3,FONTIBÓN,2021,2022,18.95533761646996,19.520399132203405,31954
O3,FONTIBÓN,2021,2023,22.888757387347482,24.291301713166053,58479
O3,FONTIBÓN,2022,2022,20.175482868104247,20.81197899804265,26147
O3,FONTIBÓN,2022,2023,24.016251839227383,25.269151266051797,52672
O3,FONTIBÓN,2023,2023,26.15665088469478,27.207145459564398,26525
O3,KENNEDY,2020,2020,28.24000827756481,24.52440021088017,17525
O3,KENNEDY,2020,2021,25.453028213520593,23.110018539202084,38344
O3,KENNEDY,2020,2022,24.546729664105477,22.77040981488729,50135
O3,KENNEDY,2020,2023,24.64531880340209,22.70388377001942,62316
O3,KENNEDY,2021,2021,23.09839187572048,21.565572088424965,20819
O3,KENNEDY,2021,2022,22.49373735192141,21.461638646403816,32610
O3,KENNEDY,2021,2023,23.097915276612408,21.691318885245366,44791
O3,KENNEDY,2022,2022,21.330714285714286,21.213025781720297,11791
O3,KENNEDY,2022,2023,23.097420197297144,21.821789282710203,23972
O3,KENNEDY,2023,2023,25.17186498884205,22.339253774676987,12181
O3,PUENTE ARANDA,2020,2020,19.310950409026802,17.246353692992386,10953
O3,PUENTE ARANDA,2020,2021,19.844677110612746,18.435758817220407,28316
O3,PUENTE ARANDA,2020,2022,19.29131847375925,18.57111495482302,45568
O3,PUENTE ARANDA,2020,2023,20.022633539003245,19.109589877750807,62937
O3,PUENTE ARANDA,2021,2021,20.178354347187117,19.134782471366577,17363
O3,PUENTE ARANDA,2021,2022,19.285095726037195,18.97196861902066,34615
O3,PUENTE ARANDA,2021,2023,20.173579853216868,19.47870281183473,51984
O3,PUENTE ARANDA,2022,2022,18.366455837011063,18.759322046191006,17252
O3,PUENTE ARANDA,2022,2023,20.1711284054209,19.65323523171175,34621
