Sintoma_predicho;Variable;tipo_variable;Coeficiente;Error_estandar;p_valor;IC_Inferior;IC_Superior;R2_ajustado;RMSE
Sibilancias;Intercept;Intercept;0.0679147871190977;0.0375782307872295;0.0739502653878492;-0.0067081317580887;0.1425377059962843;0.0283113240479625;0.0750228665077767
Sibilancias;2;Estrato;-0.0174989050437789;0.0240791912587101;0.469220859967255;-0.0653154067333057;0.0303175966457477;0.0283113240479625;0.0750228665077767
Sibilancias;3;Estrato;-0.0260044383076099;0.0248965946518306;0.2989625114020107;-0.0754441411382478;0.0234352645230279;0.0283113240479625;0.0750228665077767
Sibilancias;4;Estrato;-0.0364703128487046;0.0299855179837918;0.2269622878599412;-0.0960156088650178;0.0230749831676085;0.0283113240479625;0.0750228665077767
Sibilancias;5;Estrato;-0.0284812213737763;0.0448818269400986;0.527258770605718;-0.1176076347425794;0.0606451919950268;0.0283113240479625;0.0750228665077767
Sibilancias;6;Estrato;-0.0095846370089141;0.0534539503100066;0.8580871743148151;-0.1157335885184768;0.0965643145006486;0.0283113240479625;0.0750228665077767
Sibilancias;BOSA;Localidad;-0.1081416414268067;0.0723675033892533;0.1384721910161472;-0.2518491609568636;0.03556587810325;0.0283113240479625;0.0750228665077767
Sibilancias;CIUDAD BOLIVAR;Localidad;-0.0324743811939406;0.0611292845229969;0.5965183309952777;-0.1538650253093699;0.0889162629214886;0.0283113240479625;0.0750228665077767
Sibilancias;ENGATIVA;Localidad;0.023521843616928;0.0379954957144628;0.5373842779612419;-0.0519296807098211;0.0989733679436772;0.0283113240479625;0.0750228665077767
Sibilancias;FONTIBON;Localidad;0.0829217855781631;0.0470534702510699;0.0813062000715008;-0.0105170810176787;0.1763606521740049;0.0283113240479625;0.0750228665077767
Sibilancias;KENNEDY;Localidad;0.0504315081326815;0.0727183814713022;0.4897130408801492;-0.0939727857293221;0.1948358019946852;0.0283113240479625;0.0750228665077767
Sibilancias;PUENTE ARANDA;Localidad;-0.0040623714491897;0.044778750126411;0.9279094223819172;-0.092984094694355;0.0848593517959754;0.0283113240479625;0.0750228665077767
Sibilancias;SANTA FE;Localidad;0.0506313830094666;0.074790409630681;0.5001010475546139;-0.097887548130807;0.1991503141497403;0.0283113240479625;0.0750228665077767
Sibilancias;SUBA;Localidad;0.0452377093669618;0.0414312849668274;0.2777094089660832;-0.037036611490843;0.1275120302247666;0.0283113240479625;0.0750228665077767
Sibilancias;USAQUEN;Localidad;0.0040395879440675;0.045485859359597;0.9294240749947325;-0.0862863140992991;0.0943654899874343;0.0283113240479625;0.0750228665077767
Sibilancias;USME;Localidad;-0.0253984642412988;0.0752882099329137;0.7366134062852152;-0.1749059281249282;0.1241089996423305;0.0283113240479625;0.0750228665077767
Sibilancias;PM25;Contaminante;0.0239733297914095;0.0199999953050136;0.2337030433804725;-0.0157426971721945;0.0636893567550135;0.0283113240479625;0.0750228665077767
Sibilancias;CO;Contaminante;-0.0440517394812039;0.0259570265139694;0.0930216609384442;-0.095597249827667;0.0074937708652591;0.0283113240479625;0.0750228665077767
Sibilancias;SO2;Contaminante;0.0054620668238299;0.0262017722448754;0.8353243401344572;-0.0465694600391198;0.0574935936867796;0.0283113240479625;0.0750228665077767
Sibilancias;O3;Contaminante;0.0102482472737163;0.016966179116707;0.5472878627942863;-0.0234432219987566;0.0439397165461893;0.0283113240479625;0.0750228665077767
Tos;Intercept;Intercept;0.1903484824025825;0.0728088662322546;0.010428326466613;0.045764503738109;0.3349324610670561;0.2263594527854032;0.1453588883109767
Tos;2;Estrato;-0.0313352277113226;0.0466541020854046;0.503471555827933;-0.1239810282791944;0.061310572856549;0.2263594527854032;0.1453588883109767
Tos;3;Estrato;-0.0496127798897727;0.0482378438704949;0.3063807231856112;-0.1454035777679321;0.0461780179883866;0.2263594527854032;0.1453588883109767
Tos;4;Estrato;-0.0344805115083621;0.0580977742179576;0.5542932591343465;-0.1498511769598364;0.0808901539431121;0.2263594527854032;0.1453588883109767
Tos;5;Estrato;0.2401426592959591;0.086959786703193;0.0069321009470412;0.0674577570856325;0.4128275615062856;0.2263594527854032;0.1453588883109767
Tos;6;Estrato;0.2485925754850337;0.1035685139021892;0.0183746611914826;0.0429260326689656;0.4542591183011017;0.2263594527854032;0.1453588883109767
Tos;BOSA;Localidad;-0.3673881614946114;0.1402140484916329;0.010263797624068;-0.6458254733860693;-0.0889508496031535;0.2263594527854032;0.1453588883109767
Tos;CIUDAD BOLIVAR;Localidad;-0.2888626574042429;0.118439687193066;0.0166300649075969;-0.5240604031227853;-0.0536649116857005;0.2263594527854032;0.1453588883109767
Tos;ENGATIVA;Localidad;0.0629178877366301;0.0736173286221514;0.3949349466240737;-0.0832715370085308;0.209107312481791;0.2263594527854032;0.1453588883109767
Tos;FONTIBON;Localidad;-0.0847780294603459;0.0911674059556249;0.3548221052937232;-0.2658184296162282;0.0962623706955363;0.2263594527854032;0.1453588883109767
Tos;KENNEDY;Localidad;-0.1311580369187882;0.140893884524478;0.3543158159855158;-0.4109453684377275;0.1486292946001511;0.2263594527854032;0.1453588883109767
Tos;PUENTE ARANDA;Localidad;-0.0547481009509019;0.0867600725127639;0.5295695326036352;-0.2270364103595237;0.1175402084577198;0.2263594527854032;0.1453588883109767
Tos;SANTA FE;Localidad;0.1814981923354403;0.1449084966529697;0.2135274443419778;-0.1062613632321526;0.4692577479030333;0.2263594527854032;0.1453588883109767
Tos;SUBA;Localidad;-0.056938639714462;0.0802742657593475;0.4799120074499503;-0.2163474223046533;0.1024701428757291;0.2263594527854032;0.1453588883109767
