variable;localidad;year_start;year_end;mean;std;n;ci_90_lower;ci_90_upper;ci_95_lower;ci_95_upper;ci_99_lower;ci_99_upper
CO;CIUDAD BOLIVAR;2020;2021;705,8637144344807;553,408938597367;10371;696,9244474588214;714,80298141014;695,2116291174954;716,515799751466;691,8635584116382;719,8638704573232
CO;CIUDAD BOLIVAR;2020;2022;730,8312087938423;587,1007343162586;18903;723,8070261041155;737,8553914835691;722,4612531252757;739,2011644624089;719,8308159974519;741,8316015902327
CO;CIUDAD BOLIVAR;2020;2023;700,864184557627;581,3263921246293;27409;695,0883415397641;706,64002757549;693,9817717960249;707,7465973192292;691,8189304881392;709,9094386271148
CO;CIUDAD BOLIVAR;2021;2021;695,9386867950964;563,5815885508405;8565;685,9210022639804;705,9563713262123;684,0014835586954;707,8758900314973;680,2492629016284;711,6281106885643
CO;CIUDAD BOLIVAR;2021;2022;728,4964970363221;595,537473025693;17097;721,0044597752734;735,9885342973708;719,5690357150302;737,4239583576141;716,7633447418336;740,2296493308106
CO;CIUDAD BOLIVAR;2021;2023;697,1912941663086;586,4814132022475;25603;691,1622037550258;703,2203845775914;690,0071101451298;704,3754781874874;687,7494183567394;706,6331699758778
CO;CIUDAD BOLIVAR;2022;2022;761,1802341104079;624,3058746670886;8532;750,0617285424535;772,2987396783624;747,9312765029159;774,4291917178999;743,766726647752;778,5937415730639
CO;CIUDAD BOLIVAR;2022;2023;697,8209797006691;597,6770928919137;17038;690,2890167302209;705,3529426711174;688,845942655658;706,7960167456803;686,0252980833499;709,6166613179884
CO;CIUDAD BOLIVAR;2023;2023;634,2680572196098;562,6312532106059;8506;624,2326331924482;644,3034812467713;622,3097126174822;646,2264018217373;618,5508377019086;649,985276737311
CO;ENGATIVÁ;2020;2020;667,3850813795776;381,9894186003604;10322;661,2001391833354;673,5700235758198;660,0150653926447;674,7550973665105;657,6985830428513;677,071579716304
CO;ENGATIVÁ;2020;2021;682,9066799966519;422,5041965214757;29868;678,8853595401135;686,9280004531902;678,1149355652336;687,6984244280701;676,6091130842171;689,2042469090866
CO;ENGATIVÁ;2020;2022;698,6378548363999;451,31170423671745;46088;695,179905292695;702,0958043801048;694,5174284244116;702,7582812483882;693,2226145504197;704,0530951223801
CO;ENGATIVÁ;2020;2023;687,6516426650171;453,55031072278865;61433;684,6416986850322;690,661586645002;684,0650566181635;691,2382287118708;682,938016018078;692,3652693119562
CO;ENGATIVÁ;2021;2021;691,1034435761793;442,19468809817516;19546;685,900700069647;696,3061870827116;684,9039022341203;697,3029849182383;682,9555740154326;699,251313136926
CO;ENGATIVÁ;2021;2022;707,6573461863222;469,0360444181239;35766;703,5778217533198;711,7368706193247;702,7962544023683;712,5184379702762;701,2686639093623;714,0460284632821
CO;ENGATIVÁ;2021;2023;691,7445276719296;466,5687703311127;51111;688,3498886002064;695,1391667436528;687,6995432547653;695,7895120890939;686,428444393289;697,0606109505702
CO;ENGATIVÁ;2022;2022;727,6057173588163;498,75297636171786;16220;721,163844653147;734,0475900644856;719,9296181787023;735,2818165389302;717,5171785867691;737,6942561308634
CO;ENGATIVÁ;2022;2023;692,1415062791066;481,04963704677414;31565;687,6877443585031;696,5952681997101;686,8344738746051;697,448538683608;685,1667291110211;699,116283447192
CO;ENGATIVÁ;2023;2023;654,6550609410232;458,6437234375073;15345;648,5646655791151;660,7454563029313;647,3977729341914;661,912348947855;645,1169336288854;664,193188253161
