Sintoma_predicho;Variable;Coeficiente;Error_estandar;p_valor;IC_Inferior;IC_Superior;R2_ajustado;RMSE
Tos;C(Localidad)[T.SANTA FE];0,18149819233544034;0,14490849665296976;0,2135274443419778;-0,10626136323215263;0,4692577479030333;0,22635945278540326;0,14535888831097674
Tos;C(Localidad)[T.SUBA];-0,05693863971446207;0,08027426575934758;0,47991200744995033;-0,21634742230465331;0,10247014287572916;0,22635945278540326;0,14535888831097674
Tos;C(Localidad)[T.USAQUEN];0,06597737864330812;0,08813011629854343;0,4559658331776578;-0,10903156620084782;0,24098632348746407;0,22635945278540326;0,14535888831097674
Tos;C(Localidad)[T.USME];-0,37939039645048134;0,14587299856954106;0,010818990202987646;-0,6690652616739416;-0,08971553122702103;0,22635945278540326;0,14535888831097674
Tos;PM25;0,018848140680185324;0,0387505465878218;0,6278301201135855;-0,058102765040803556;0,0957990464011742;0,22635945278540326;0,14535888831097674
Tos;CO;-0,10517852697889704;0,05029246006666559;0,039224093024404307;-0,20504938542719642;-0,0053076685305976645;0,22635945278540326;0,14535888831097674
Tos;SO2;0,1454162530356166;0,05076666172036634;0,005164281222711751;0,04460372408303247;0,2462287819882007;0,22635945278540326;0,14535888831097674
Tos;O3;-0,023675268897329096;0,03287244343074788;0,4731981368883914;-0,08895342670408868;0,04160288890943048;0,22635945278540326;0,14535888831097674
Congestión_nasal;Intercept;0,23096065166313098;0,07823977191642974;0,0039966855492599785;0,07559197063748144;0,38632933268878056;0,28159999432214966;0,156201392165593
Congestión_nasal;C(Estrato)[T.2];-0,06575365724249008;0,050134090736751916;0,19289874399145865;-0,16531002558811014;0,033802711103130004;0,28159999432214966;0,156201392165593
Congestión_nasal;C(Estrato)[T.3];-0,041618700386579006;0,05183596583043514;0,4240841236564461;-0,14455465538102522;0,061317254607867196;0,28159999432214966;0,156201392165593
