Contaminante;Sintoma;Correlacion;Localidad;Año
O3;Casos de sibilancia último año;-4.998694161829984e-16;BOSA;2021
CO;Casos de sibilancia último año;;CANDELARIA;2021
PM10;Casos de sibilancia último año;;CANDELARIA;2021
NO2;Casos de sibilancia último año;;CANDELARIA;2021
O3;Casos de sibilancia último año;;CANDELARIA;2021
CO;Casos de sibilancia último año;6.362096489829244e-17;CHAPINERO;2021
PM10;Casos de sibilancia último año;8.194712792411779e-16;CHAPINERO;2021
NO2;Casos de sibilancia último año;5.025721719208915e-16;CHAPINERO;2021
O3;Casos de sibilancia último año;1.4828915899952786e-16;CHAPINERO;2021
CO;Casos de sibilancia último año;5.158131307009819e-16;CIUDAD BOLIVAR;2021
PM10;Casos de sibilancia último año;1.14738774383008e-15;CIUDAD BOLIVAR;2021
NO2;Casos de sibilancia último año;3.307243250038528e-16;CIUDAD BOLIVAR;2021
O3;Casos de sibilancia último año;3.7279944492786864e-16;CIUDAD BOLIVAR;2021
CO;Casos de sibilancia último año;-3.0944844219981127e-16;ENGATIVA;2021
PM10;Casos de sibilancia último año;-2.7052879189351767e-16;ENGATIVA;2021
NO2;Casos de sibilancia último año;-2.5538384688381717e-16;ENGATIVA;2021
O3;Casos de sibilancia último año;6.908422466270085e-17;ENGATIVA;2021
CO;Casos de sibilancia último año;;FONTIBON;2021
PM10;Casos de sibilancia último año;-6.4084271281306675e-18;FONTIBON;2021
NO2;Casos de sibilancia último año;1.0442066125932388e-16;FONTIBON;2021
O3;Casos de sibilancia último año;-1.079348798149348e-16;FONTIBON;2021
CO;Casos de sibilancia último año;-4.898268555373616e-16;KENNEDY;2021
PM10;Casos de sibilancia último año;1.4515727364325003e-16;KENNEDY;2021
NO2;Casos de sibilancia último año;1.6066090274246597e-15;KENNEDY;2021
O3;Casos de sibilancia último año;-4.345794084267742e-16;KENNEDY;2021
CO;Casos de sibilancia último año;;PUENTE ARANDA;2021
PM10;Casos de sibilancia último año;;PUENTE ARANDA;2021
