;Estacion;Anio;Mes;Hora;Localidad;mean_CO_granular;mean_NO2_granular;mean_O3_granular;mean_PM10_granular;mean_PM25_granular;mean_SO2_granular;mean_CO_local;mean_NO2_local;mean_O3_local;mean_PM10_local;mean_PM25_local;mean_SO2_local
33;BOGOTA RURAL - MOCHUELO;2022;2;9;FONTIBÓN;;;;;28.4643;21.7135;879.9863;41.5463;20.1755;47.4973;22.7017;9.2698
34;BOGOTA RURAL - MOCHUELO;2022;2;10;FONTIBÓN;;;;;28.037;20.9746;879.9863;41.5463;20.1755;47.4973;22.7017;9.2698
35;BOGOTA RURAL - MOCHUELO;2022;2;11;FONTIBÓN;;;;;30.9259;21.7586;879.9863;41.5463;20.1755;47.4973;22.7017;9.2698
36;BOGOTA RURAL - MOCHUELO;2022;2;12;FONTIBÓN;;;;;34.0741;31.5354;879.9863;41.5463;20.1755;47.4973;22.7017;9.2698
37;BOGOTA RURAL - MOCHUELO;2022;2;13;FONTIBÓN;;;;;26.5;28.6479;879.9863;41.5463;20.1755;47.4973;22.7017;9.2698
38;BOGOTA RURAL - MOCHUELO;2022;2;14;FONTIBÓN;;;;;29.963;25.9907;879.9863;41.5463;20.1755;47.4973;22.7017;9.2698
39;BOGOTA RURAL - MOCHUELO;2022;2;15;FONTIBÓN;;;;;32.5357;25.4261;879.9863;41.5463;20.1755;47.4973;22.7017;9.2698
40;BOGOTA RURAL - MOCHUELO;2022;2;16;FONTIBÓN;;;;;30.4286;25.7604;879.9863;41.5463;20.1755;47.4973;22.7017;9.2698
41;BOGOTA RURAL - MOCHUELO;2022;2;17;FONTIBÓN;;;;;28.6429;26.1261;879.9863;41.5463;20.1755;47.4973;22.7017;9.2698
42;BOGOTA RURAL - MOCHUELO;2022;2;18;FONTIBÓN;;;;;33.5;26.9875;879.9863;41.5463;20.1755;47.4973;22.7017;9.2698
43;BOGOTA RURAL - MOCHUELO;2022;2;19;FONTIBÓN;;;;;37.9643;26.9511;879.9863;41.5463;20.1755;47.4973;22.7017;9.2698
44;BOGOTA RURAL - MOCHUELO;2022;2;20;FONTIBÓN;;;;;37.7143;24.5461;879.9863;41.5463;20.1755;47.4973;22.7017;9.2698
45;BOGOTA RURAL - MOCHUELO;2022;2;21;FONTIBÓN;;;;;37.2143;23.7614;879.9863;41.5463;20.1755;47.4973;22.7017;9.2698
46;BOGOTA RURAL - MOCHUELO;2022;2;22;FONTIBÓN;;;;;39.6786;22.4914;879.9863;41.5463;20.1755;47.4973;22.7017;9.2698
47;BOGOTA RURAL - MOCHUELO;2022;2;23;FONTIBÓN;;;;;41.8214;24.2446;879.9863;41.5463;20.1755;47.4973;22.7017;9.2698
48;BOGOTA RURAL - MOCHUELO;2022;3;0;FONTIBÓN;;;;;45.7742;15.9165;879.9863;41.5463;20.1755;47.4973;22.7017;9.2698
49;BOGOTA RURAL - MOCHUELO;2022;3;1;FONTIBÓN;;;;;43.871;14.6603;879.9863;41.5463;20.1755;47.4973;22.7017;9.2698
50;BOGOTA RURAL - MOCHUELO;2022;3;2;FONTIBÓN;;;;;39.4516;13.6981;879.9863;41.5463;20.1755;47.4973;22.7017;9.2698
51;BOGOTA RURAL - MOCHUELO;2022;3;3;FONTIBÓN;;;;;43.7097;15.5606;879.9863;41.5463;20.1755;47.4973;22.7017;9.2698
52;BOGOTA RURAL - MOCHUELO;2022;3;4;FONTIBÓN;;;;;40.3548;14.1448;879.9863;41.5463;20.1755;47.4973;22.7017;9.2698
53;BOGOTA RURAL - MOCHUELO;2022;3;5;FONTIBÓN;;;;;42.7812;14.6826;879.9863;41.5463;20.1755;47.4973;22.7017;9.2698
54;BOGOTA RURAL - MOCHUELO;2022;3;6;FONTIBÓN;;;;;46.7667;16.4832;879.9863;41.5463;20.1755;47.4973;22.7017;9.2698
55;BOGOTA RURAL - MOCHUELO;2022;3;7;FONTIBÓN;;;;;49.4828;18.5374;879.9863;41.5463;20.1755;47.4973;22.7017;9.2698
56;BOGOTA RURAL - MOCHUELO;2022;3;8;FONTIBÓN;;;;;40.75;22.629;879.9863;41.5463;20.1755;47.4973;22.7017;9.2698
57;BOGOTA RURAL - MOCHUELO;2022;3;9;FONTIBÓN;;;;;33.0645;19.8776;879.9863;41.5463;20.1755;47.4973;22.7017;9.2698
58;BOGOTA RURAL - MOCHUELO;2022;3;10;FONTIBÓN;;;;;22.0323;18.3706;879.9863;41.5463;20.1755;47.4973;22.7017;9.2698
59;BOGOTA RURAL - MOCHUELO;2022;3;11;FONTIBÓN;;;;;23.5;16.6887;879.9863;41.5463;20.1755;47.4973;22.7017;9.2698
60;BOGOTA RURAL - MOCHUELO;2022;3;12;FONTIBÓN;;;;;31.5172;21.0242;879.9863;41.5463;20.1755;47.4973;22.7017;9.2698
61;BOGOTA RURAL - MOCHUELO;2022;3;13;FONTIBÓN;;;;;30.7586;24.2203;879.9863;41.5463;20.1755;47.4973;22.7017;9.2698
62;BOGOTA RURAL - MOCHUELO;2022;3;14;FONTIBÓN;;;;;26.2667;20.5474;879.9863;41.5463;20.1755;47.4973;22.7017;9.2698
63;BOGOTA RURAL - MOCHUELO;2022;3;15;FONTIBÓN;;;;;30.8333;22.5116;879.9863;41.5463;20.1755;47.4973;22.7017;9.2698
64;BOGOTA RURAL - MOCHUELO;2022;3;16;FONTIBÓN;;;;;31.9677;23.8465;879.9863;41.5463;20.1755;47.4973;22.7017;9.2698
65;BOGOTA RURAL - MOCHUELO;2022;3;17;FONTIBÓN;;;;;35.0968;26.1226;879.9863;41.5463;20.1755;47.4973;22.7017;9.2698
66;BOGOTA RURAL - MOCHUELO;2022;3;18;FONTIBÓN;;;;;42.0968;29.2865;879.9863;41.5463;20.1755;47.4973;22.7017;9.2698
67;BOGOTA RURAL - MOCHUELO;2022;3;19;FONTIBÓN;;;;;38.7097;19.6177;879.9863;41.5463;20.1755;47.4973;22.7017;9.2698
68;BOGOTA RURAL - MOCHUELO;2022;3;20;FONTIBÓN;;;;;47.0323;21.3365;879.9863;41.5463;20.1755;47.4973;22.7017;9.2698
69;BOGOTA RURAL - MOCHUELO;2022;3;21;FONTIBÓN;;;;;42.6774;17.7061;879.9863;41.5463;20.1755;47.4973;22.7017;9.2698
70;BOGOTA RURAL - MOCHUELO;2022;3;22;FONTIBÓN;;;;;41.4839;18.6361;879.9863;41.5463;20.1755;47.4973;22.7017;9.2698
71;BOGOTA RURAL - MOCHUELO;2022;3;23;FONTIBÓN;;;;;41.1935;18.0965;879.9863;41.5463;20.1755;47.4973;22.7017;9.2698
72;BOGOTA RURAL - MOCHUELO;2022;4;0;FONTIBÓN;;;;;31.5;15.3243;879.9863;41.5463;20.1755;47.4973;22.7017;9.2698
73;BOGOTA RURAL - MOCHUELO;2022;4;1;FONTIBÓN;;;;;32.3667;14.7367;879.9863;41.5463;20.1755;47.4973;22.7017;9.2698
74;BOGOTA RURAL - MOCHUELO;2022;4;2;FONTIBÓN;;;;;33.6667;12.76;879.9863;41.5463;20.1755;47.4973;22.7017;9.2698
75;BOGOTA RURAL - MOCHUELO;2022;4;3;FONTIBÓN;;;;;30.0;14.0993;879.9863;41.5463;20.1755;47.4973;22.7017;9.2698
76;BOGOTA RURAL - MOCHUELO;2022;4;4;FONTIBÓN;;;;;29.6667;12.2637;879.9863;41.5463;20.1755;47.4973;22.7017;9.2698
77;BOGOTA RURAL - MOCHUELO;2022;4;5;FONTIBÓN;;;;;28.6667;14.5417;879.9863;41.5463;20.1755;47.4973;22.7017;9.2698
78;BOGOTA RURAL - MOCHUELO;2022;4;6;FONTIBÓN;;;;;34.5;15.893;879.9863;41.5463;20.1755;47.4973;22.7017;9.2698
79;BOGOTA RURAL - MOCHUELO;2022;4;7;FONTIBÓN;;;;;37.9643;15.6527;879.9863;41.5463;20.1755;47.4973;22.7017;9.2698
80;BOGOTA RURAL - MOCHUELO;2022;4;8;FONTIBÓN;;;;;36.1667;14.94;879.9863;41.5463;20.1755;47.4973;22.7017;9.2698
81;BOGOTA RURAL - MOCHUELO;2022;4;9;FONTIBÓN;;;;;27.5333;13.361;879.9863;41.5463;20.1755;47.4973;22.7017;9.2698
82;BOGOTA RURAL - MOCHUELO;2022;4;10;FONTIBÓN;;;;;20.0;12.4062;879.9863;41.5463;20.1755;47.4973;22.7017;9.2698
83;BOGOTA RURAL - MOCHUELO;2022;4;11;FONTIBÓN;;;;;18.1333;11.4287;879.9863;41.5463;20.1755;47.4973;22.7017;9.2698
84;BOGOTA RURAL - MOCHUELO;2022;4;12;FONTIBÓN;;;;;18.5;12.2831;879.9863;41.5463;20.1755;47.4973;22.7017;9.2698
85;BOGOTA RURAL - MOCHUELO;2022;4;13;FONTIBÓN;;;;;20.9667;16.874;879.9863;41.5463;20.1755;47.4973;22.7017;9.2698
86;BOGOTA RURAL - MOCHUELO;2022;4;14;FONTIBÓN;;;;;26.0;16.633;879.9863;41.5463;20.1755;47.4973;22.7017;9.2698
