;variable;localidad;year_start;year_end;mean;std;n;confidence_level;ci_lower;ci_upper
1840;PM25;PUENTE ARANDA;2020;2023;16.69253324319961;11.992134741091759;62223;90%;16.61345541210694;16.771611074292277
1841;PM25;PUENTE ARANDA;2020;2023;16.69253324319961;11.992134741091759;62223;99%;16.568695956319843;16.816370530079375
1842;PM25;PUENTE ARANDA;2021;2021;17.682297273205943;12.588416899531783;17085;95%;17.493523139191662;17.871071407220224
1843;PM25;PUENTE ARANDA;2021;2021;17.682297273205943;12.588416899531783;17085;90%;17.52387565942861;17.840718886983275
1844;PM25;PUENTE ARANDA;2021;2021;17.682297273205943;12.588416899531783;17085;99%;17.4341958648101;17.930398681601787
1845;PM25;PUENTE ARANDA;2021;2022;17.144253437815763;11.682248110833985;34148;95%;17.02034317604725;17.268163699584278
1846;PM25;PUENTE ARANDA;2021;2022;17.144253437815763;11.682248110833985;34148;90%;17.040265532905174;17.248241342726352
1847;PM25;PUENTE ARANDA;2021;2022;17.144253437815763;11.682248110833985;34148;99%;16.981404419331874;17.307102456299653
1848;PM25;PUENTE ARANDA;2021;2023;16.074699219644828;11.509254189541032;51331;95%;15.975132167064828;16.174266272224827
1849;PM25;PUENTE ARANDA;2021;2023;16.074699219644828;11.509254189541032;51331;90%;15.991140377351286;16.15825806193837
1850;PM25;PUENTE ARANDA;2021;2023;16.074699219644828;11.509254189541032;51331;99%;15.94384415130919;16.205554287980465
1851;PM25;PUENTE ARANDA;2022;2022;16.60551588125237;10.671509053614367;17063;95%;16.445384281505465;16.765647480999274
1852;PM25;PUENTE ARANDA;2022;2022;16.60551588125237;10.671509053614367;17063;90%;16.471131443271354;16.739900319233385
1853;PM25;PUENTE ARANDA;2022;2022;16.60551588125237;10.671509053614367;17063;99%;16.395058671488375;16.815973091016364
1854;PM25;PUENTE ARANDA;2022;2023;15.272684013632697;10.84254488950704;34246;95%;15.15784492327274;15.387523103992653
1855;PM25;PUENTE ARANDA;2022;2023;15.272684013632697;10.84254488950704;34246;90%;15.176308810141462;15.369059217123931
1856;PM25;PUENTE ARANDA;2022;2023;15.272684013632697;10.84254488950704;34246;99%;15.121756787855222;15.423611239410171
1857;PM25;PUENTE ARANDA;2023;2023;13.949160172790325;10.849223115131933;17183;95%;13.786931419407198;14.111388926173452
1858;PM25;PUENTE ARANDA;2023;2023;13.949160172790325;10.849223115131933;17183;90%;13.813015761464316;14.085304584116335
1859;PM25;PUENTE ARANDA;2023;2023;13.949160172790325;10.849223115131933;17183;99%;13.735946784096065;14.162373561484586
1860;PM25;SAN CRISTOBAL;2020;2020;14.366230677764566;11.537446518225527;1682;95%;13.814461281869441;14.918000073659691
1861;PM25;SAN CRISTOBAL;2020;2020;14.366230677764566;11.537446518225527;1682;90%;13.903249468470865;14.829211887058268
1862;PM25;SAN CRISTOBAL;2020;2020;14.366230677764566;11.537446518225527;1682;99%;13.640781220624891;15.09168013490424
1863;PM25;SAN CRISTOBAL;2020;2021;12.617721779292214;10.949048145042475;9653;95%;12.399273932960467;12.836169625623961
1864;PM25;SAN CRISTOBAL;2020;2021;12.617721779292214;10.949048145042475;9653;90%;12.434399961849705;12.801043596734724
1865;PM25;SAN CRISTOBAL;2020;2021;12.617721779292214;10.949048145042475;9653;99%;12.330611869306297;12.904831689278131
1866;PM25;SAN CRISTOBAL;2020;2022;13.68747590507584;11.072790895693279;18323;95%;13.527138227218034;13.847813582933645
1867;PM25;SAN CRISTOBAL;2020;2022;13.68747590507584;11.072790895693279;18323;90%;13.552918369739743;13.822033440411936
1868;PM25;SAN CRISTOBAL;2020;2022;13.68747590507584;11.072790895693279;18323;99%;13.476748444920956;13.898203365230723
1869;PM25;SAN CRISTOBAL;2020;2023;13.05932414229558;10.795803277645456;26402;95%;12.929096088365785;13.189552196225375
1870;PM25;SAN CRISTOBAL;2020;2023;13.05932414229558;10.795803277645456;26402;90%;12.950034489844807;13.168613794746353
1871;PM25;SAN CRISTOBAL;2020;2023;13.05932414229558;10.795803277645456;26402;99%;12.888170940576957;13.230477344014203
1872;PM25;SAN CRISTOBAL;2021;2021;12.248760298018786;10.78539297240243;7971;95%;12.011953798021318;12.485566798016253
1873;PM25;SAN CRISTOBAL;2021;2021;12.248760298018786;10.78539297240243;7971;90%;12.050033100295538;12.447487495742033
1874;PM25;SAN CRISTOBAL;2021;2021;12.248760298018786;10.78539297240243;7971;99%;11.937516527337664;12.560004068699907
1875;PM25;SAN CRISTOBAL;2021;2022;13.618870320816333;11.022770049979583;16641;95%;13.451383469075733;13.786357172556933
1876;PM25;SAN CRISTOBAL;2021;2022;13.618870320816333;11.022770049979583;16641;90%;13.478313322857177;13.759427318775488
1877;PM25;SAN CRISTOBAL;2021;2022;13.618870320816333;11.022770049979583;16641;99%;13.398746047156417;13.83899459447625
1878;PM25;SAN CRISTOBAL;2021;2023;12.970399514760837;10.73795034310573;24720;95%;12.836534677367029;13.104264352154646
1879;PM25;SAN CRISTOBAL;2021;2023;12.970399514760837;10.73795034310573;24720;90%;12.858057892476563;13.082741137045112
1880;PM25;SAN CRISTOBAL;2021;2023;12.970399514760837;10.73795034310573;24720;99%;12.794466326257714;13.14633270326396
1881;PM25;SAN CRISTOBAL;2022;2022;14.878518186066534;11.088817300159482;8670;95%;14.645073275251073;15.111963096881995
1882;PM25;SAN CRISTOBAL;2022;2022;14.878518186066534;11.088817300159482;8670;90%;14.682611459416112;15.074424912716957
1883;PM25;SAN CRISTOBAL;2022;2022;14.878518186066534;11.088817300159482;8670;99%;14.571694848104029;15.18534152402904
1884;PM25;SAN CRISTOBAL;2022;2023;13.31383411961193;10.698538544329768;16749;95%;13.151798873678175;13.475869365545684
1885;PM25;SAN CRISTOBAL;2022;2023;13.31383411961193;10.698538544329768;16749;90%;13.177852160419015;13.449816078804844
1886;PM25;SAN CRISTOBAL;2022;2023;13.31383411961193;10.698538544329768;16749;99%;13.100874828818233;13.526793410405626
1887;PM25;SAN CRISTOBAL;2023;2023;11.63468931751248;9.995004615680523;8079;95%;11.416708958735653;11.852669676289308
