Estacion,Localidad,Fecha,Año,Concentracion
Carvajal - Sevillana,Kennedy,2020-01-04 16:00:00,2020,55
Carvajal - Sevillana,Kennedy,2020-01-04 17:00:00,2020,51
Carvajal - Sevillana,Kennedy,2020-01-04 18:00:00,2020,43
Carvajal - Sevillana,Kennedy,2020-01-04 19:00:00,2020,43
Carvajal - Sevillana,Kennedy,2020-01-04 20:00:00,2020,42
Carvajal - Sevillana,Kennedy,2020-01-04 21:00:00,2020,36
Carvajal - Sevillana,Kennedy,2020-01-04 22:00:00,2020,31
Carvajal - Sevillana,Kennedy,2020-01-04 23:00:00,2020,36
Carvajal - Sevillana,Kennedy,2020-01-05 00:00:00,2020,30
Carvajal - Sevillana,Kennedy,2020-01-05 01:00:00,2020,27
Carvajal - Sevillana,Kennedy,2020-01-05 02:00:00,2020,25
Carvajal - Sevillana,Kennedy,2020-01-05 03:00:00,2020,20
Carvajal - Sevillana,Kennedy,2020-01-05 04:00:00,2020,17
Carvajal - Sevillana,Kennedy,2020-01-05 05:00:00,2020,23
Carvajal - Sevillana,Kennedy,2020-01-05 06:00:00,2020,17
Carvajal - Sevillana,Kennedy,2020-01-05 07:00:00,2020,37
Carvajal - Sevillana,Kennedy,2020-01-05 08:00:00,2020,48
Carvajal - Sevillana,Kennedy,2020-01-05 09:00:00,2020,54
Carvajal - Sevillana,Kennedy,2020-01-05 10:00:00,2020,39
Carvajal - Sevillana,Kennedy,2020-01-05 11:00:00,2020,32
Carvajal - Sevillana,Kennedy,2020-01-05 12:00:00,2020,22
Carvajal - Sevillana,Kennedy,2020-01-05 13:00:00,2020,29
Carvajal - Sevillana,Kennedy,2020-01-05 14:00:00,2020,32
Carvajal - Sevillana,Kennedy,2020-01-05 15:00:00,2020,25
Carvajal - Sevillana,Kennedy,2020-01-05 16:00:00,2020,33
Carvajal - Sevillana,Kennedy,2020-01-05 17:00:00,2020,25
Carvajal - Sevillana,Kennedy,2020-01-05 18:00:00,2020,24
Carvajal - Sevillana,Kennedy,2020-01-05 19:00:00,2020,21
Carvajal - Sevillana,Kennedy,2020-01-05 20:00:00,2020,22
Carvajal - Sevillana,Kennedy,2020-01-05 21:00:00,2020,26
Carvajal - Sevillana,Kennedy,2020-01-05 22:00:00,2020,22
Carvajal - Sevillana,Kennedy,2020-01-05 23:00:00,2020,20
Carvajal - Sevillana,Kennedy,2020-01-06 00:00:00,2020,24
Carvajal - Sevillana,Kennedy,2020-01-06 01:00:00,2020,24
Carvajal - Sevillana,Kennedy,2020-01-06 02:00:00,2020,23
Carvajal - Sevillana,Kennedy,2020-01-06 03:00:00,2020,19
Carvajal - Sevillana,Kennedy,2020-01-06 04:00:00,2020,30
Carvajal - Sevillana,Kennedy,2020-01-06 05:00:00,2020,25
Carvajal - Sevillana,Kennedy,2020-01-06 06:00:00,2020,28
Carvajal - Sevillana,Kennedy,2020-01-06 07:00:00,2020,28
Carvajal - Sevillana,Kennedy,2020-01-06 08:00:00,2020,39
Carvajal - Sevillana,Kennedy,2020-01-06 09:00:00,2020,45
